	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.30101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.30001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.29001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.28001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.27001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.26001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.25001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.24001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.23001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.22001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.21001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.20001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.19001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.18001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.17001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.16001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15201	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15101	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.15001	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14901	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14801	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14701	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14601	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14501	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14401	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14301	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
-0.14201	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.14101	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.14001	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13901	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13801	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13701	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13601	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13501	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13401	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13301	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13201	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13101	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.13001	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12901	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12801	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12701	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12601	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12501	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12401	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12301	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12201	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12101	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.12001	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.11901	1	2	3	4	5	6	8	7	10	9	11	12	13	14	15	16
-0.11801	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11701	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11601	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11501	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11401	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11301	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11201	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11101	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.11001	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10901	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10801	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10701	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10601	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10501	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10401	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10301	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10201	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10101	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.10001	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09901	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09801	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09701	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09601	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09501	1	2	3	4	5	7	8	6	11	9	10	12	13	14	15	16
-0.09401	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.09301	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.09201	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.09101	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.09001	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08901	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08801	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08701	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08601	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08501	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08401	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08301	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08201	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08101	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.08001	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07901	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07801	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07701	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07601	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07501	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07401	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07301	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07201	1	2	3	4	6	8	7	5	12	10	9	11	13	14	15	16
-0.07101	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.07001	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06901	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06801	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06701	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06601	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06501	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06401	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06301	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06201	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06101	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.06001	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05901	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05801	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05701	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05601	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05501	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05401	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05301	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05201	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05101	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.05001	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.04901	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.04801	1	2	3	5	7	8	6	4	13	11	9	10	12	14	15	16
-0.04701	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04601	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04501	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04401	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04301	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04201	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04101	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.04001	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
-0.03901	1	2	4	6	8	7	5	3	14	12	10	9	11	13	15	16
